CPUs,Memory,Storage,AWS,GCP ,Azure,DigitalOcean,PaperSpace,CPU,GPU Memory,AWS1,GCP1,Azure1,PaperSpace1
1,1GB,25GB,8,6,8,5,,6,12 GB,,,657,
1,2GB,50GB,15,19,15,10,,4,16 GB,,,383,
2,4GB,80GB,31,97,30,20,,8,16 GB,,,548,488
4,8GB,160GB,62,194,61,40,,16,16 GB,,,878,
6,16GB,320GB,124,388,121,80,,8,24 GB,,,,891
8,32GB,640GB,248,777,243,160,,12,24 GB,,,1314,
12,48GB,960GB,571,1553,347,240,,4,32 GB,405,,,
2,8GB,25GB,71,49,71,60,,8,32 GB,349,,,
4,16GB,50GB,143,97,143,120,,16,32 GB,,,,971
8,32GB,100GB,286,194,286,240,,12,40 GB,,,,1994
16,64GB,200GB,571,388,571,480,,8,48 GB,,,,1219
32,128GB,400GB,1714,777,1143,960,,16,48 GB,,,,1778
2,4GB,25GB,63,72,62,40,25,24,48 GB,,,2628,
4,8GB,50GB,126,145,123,80,48,4,48 GB,,,,
8,16GB,100GB,253,290,247,160,92,4,64 GB,451,,,
12,30GB,50GB,,,,,158,8,64 GB,1527,,,
16,32GB,200GB,506,580,494,320,278,16,92 GB,-,,,2433
2,16GB,50GB,105,69,92,80,,16,122 GB,571,,,
4,32GB,100GB,211,138,184,180,,32,128 GB,1003,,,
8,64GB,200GB,422,276,368,360,,48,192 GB,1802,,,
16,128GB,400GB,843,551,736,720,,64,256 GB,2004,,,
