Users,CPUs,Memory,Storage,Transfer,AWS,GCP ,Azure,DigitalOcean,PaperSpace,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1GB,25GB,1TB,8,6,8,5,0,,,,,,,,,,,,,,,,,
5,1,2GB,50GB,2TB,15,19,15,10,,,BASIC,,,,,,,CPUs,Memory,Storage,AWS,GCP ,Azure,DigitalOcean,PaperSpace,
8,2,4GB,80GB,4TB,31,97,30,20,,,,,,,,,,1,1GB,25GB,8,6,8,5,,
12,4,8GB,160GB,5TB,62,194,61,40,,,,,,,,,,1,2GB,50GB,15,19,15,10,,
16,6,16GB,320GB,6TB,124,388,121,80,,,,,,,,,,2,4GB,80GB,31,97,30,20,,
25,8,32GB,640GB,7TB,248,777,243,160,,,,,,,,,,4,8GB,160GB,62,194,61,40,,
50,12,48GB,960GB,8TB,571,1553,347,240,,,,,,,,,,6,16GB,320GB,124,388,121,80,,
,,,,,,,,,,,,,,,,,,8,32GB,640GB,248,777,243,160,,
,CPUs,Memory,Storage,Transfer,AWS,GCP ,Azure,DigitalOcean,,,,,,,,,,12,48GB,960GB,571,1553,347,240,,
,,,,,,,,,,,,,,,,,,2,8GB,25GB,71,49,71,60,,
4,2,8GB,25GB,4TB,71,49,71,60,,,General Purpose,,,,,,,4,16GB,50GB,143,97,143,120,,
10,4,16GB,50GB,5TB,143,97,143,120,,,,,,,,,,8,32GB,100GB,286,194,286,240,,
20,8,32GB,100GB,6TB,286,194,286,240,,,,,,,,,,16,64GB,200GB,571,388,571,480,,
35,16,64GB,200GB,7TB,571,388,571,480,,,,,,,,,,32,128GB,400GB,1714,777,1143,960,,
50,32,128GB,400GB,8TB,1714,777,1143,960,,,,,,,,,,2,4GB,25GB,63,72,62,40,25,
,,,,,,,,,,,,,,,,,,4,8GB,50GB,126,145,123,80,48,
,CPUs,Memory,Storage,Transfer,AWS,GCP ,Azure,DigitalOcean,PaperSpace,,,,,,,,,8,16GB,100GB,253,290,247,160,92,
,,,,,,,,,,,,,,,,,,12,30GB,50GB,,,,,158,
2,2,4GB,25GB,4TB,63,72,62,40,25,,CPU Optimized,,,,,,,16,32GB,200GB,506,580,494,320,278,
8,4,8GB,50GB,5TB,126,145,123,80,48,,,,,,,,,2,16GB,50GB,105,69,92,80,,
