User,CPUs,Memory,Storage,AWS,GCP ,Azure,DigitalOcean,PaperSpace
1,1,1GB,25GB,8,6,8,5,0
2,1,2GB,50GB,15,19,15,10,NA
4,2,4GB,80GB,31,97,30,20,NA
5,2,8GB,25GB,71,49,71,60,NA
10,4,16GB,50GB,143,97,143,120,NA
12,4,8GB,160GB,62,194,61,40,NA
15,6,16GB,320GB,124,388,121,80,NA
20,8,32GB,640GB,248,777,243,160,NA
25,12,48GB,960GB,571,1553,347,240,NA
30,4,8GB,50GB,126,145,123,80,48
40,4,32GB,100GB,211,138,184,180,NA
50,8,64GB,200GB,422,276,368,360,NA
60,16,128GB,400GB,843,551,736,720,NA
75,16,64GB,200GB,571,388,571,480,NA
85,16,32GB,200GB,506,580,494,320,278
100,32,128GB,400GB,1714,777,1143,960,NA
